name,artists,daily_rank,daily_movement,weekly_movement,snapshot_date,popularity,duration_ms,album_name,album_release_date
A Holly Jolly Christmas,Burl Ives,37,2,13,12/21/2023,91,135533,Have A Holly Jolly Christmas,10/1/1965
La Víctima,Xavi,38,-1,12,12/21/2023,90,156345,La Víctima,8/17/2023
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",39,3,11,12/21/2023,91,214333,Signature Box,10/5/2010
Starboy,"The Weeknd, Daft Punk",40,-4,-11,12/21/2023,93,230453,Starboy,11/25/2016
Según Quién,"Maluma, Carin Leon",41,-1,-7,12/21/2023,90,142334,Don Juan,8/25/2023
Kill Bill,SZA,42,-1,-10,12/21/2023,91,153946,SOS,12/8/2022
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",43,0,-4,12/21/2023,91,229938,The Forever Story (Extended Version),10/31/2022
Daylight,David Kushner,44,-6,-8,12/21/2023,94,212953,Daylight,4/14/2023
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"Frank Sinatra, B. Swanson Quartet",45,0,5,12/21/2023,90,155453,Christmas Songs by Sinatra,11/8/1994
The Christmas Song (Merry Christmas To You),Nat King Cole,46,4,4,12/21/2023,70,190973,The Nat King Cole Story,9/25/1961
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,47,0,3,12/21/2023,93,222369,"What Was I Made For? [From The Motion Picture ""Barbie""]",7/13/2023
MONACO,Bad Bunny,48,2,-13,12/21/2023,95,267194,nadie sabe lo que va a pasar mañana,10/13/2023
LALA,Myke Towers,49,1,-7,12/21/2023,94,197920,LA VIDA ES UNA,3/23/2023
As It Was,Harry Styles,50,-1,-6,12/21/2023,94,167303,Harry's House,5/20/2022
All I Want for Christmas Is You,Mariah Carey,1,0,0,12/20/2023,100,241106,Merry Christmas,10/28/1994
Last Christmas - Single Version,Wham!,2,0,0,12/20/2023,89,265960,The Singles: Echoes from the Edge of Heaven,7/7/2023
Rockin' Around The Christmas Tree,Brenda Lee,3,0,1,12/20/2023,98,126266,Merry Christmas From Brenda Lee,10/19/1964
greedy,Tate McRae,4,5,-1,12/20/2023,99,131872,greedy,9/15/2023
Jingle Bell Rock,Bobby Helms,5,-1,4,12/20/2023,94,130973,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),12/2/1957
My Love Mine All Mine,Mitski,6,5,-1,12/20/2023,98,137773,The Land Is Inhospitable and So Are We,9/15/2023
Santa Tell Me,Ariana Grande,7,-2,43,12/20/2023,96,204093,Santa Tell Me,11/24/2014
It's Beginning to Look a Lot like Christmas,Michael Bublé,8,-2,2,12/20/2023,87,207199,Christmas (Deluxe Special Edition),10/14/2011
Cruel Summer,Taylor Swift,9,6,-1,12/20/2023,98,178426,Lover,8/23/2019
It's the Most Wonderful Time of the Year,Andy Williams,10,-3,3,12/20/2023,79,151000,The Andy Williams Christmas Album,1/1/1963
Lovin On Me,Jack Harlow,11,6,-4,12/20/2023,97,138411,Lovin On Me,11/10/2023
Snowman,Sia,12,-2,2,12/20/2023,94,165900,Everyday Is Christmas (Deluxe Edition),11/1/2018
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,13,-5,2,12/20/2023,95,117146,A Winter Romance,1/1/1959
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",14,4,-3,12/20/2023,94,244684,The Idol Episode 4 (Music from the HBO Original Series),6/23/2023
Underneath the Tree,Kelly Clarkson,15,-3,7,12/20/2023,86,229640,Wrapped In Red,10/29/2013
Holly Jolly Christmas,Michael Bublé,16,-3,8,12/20/2023,83,119786,Christmas,10/14/2011
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",17,3,-5,12/20/2023,90,183550,GOLDEN,11/3/2023
La Diabla,Xavi,18,3,32,12/20/2023,88,172264,La Diabla,11/30/2023
Feliz Navidad,José Feliciano,19,-5,13,12/20/2023,88,182066,Feliz Navidad,9/24/2002
Paint The Town Red,Doja Cat,20,2,-1,12/20/2023,88,230480,Scarlet,9/20/2023
I Wanna Be Yours,Arctic Monkeys,21,4,0,12/20/2023,95,183956,AM,9/9/2013
Sleigh Ride,The Ronettes,22,-6,12,12/20/2023,83,181266,Sleigh Ride,12/4/2020
QLONA,"KAROL G, Peso Pluma",23,0,-3,12/20/2023,93,172797,MAÑANA SERÁ BONITO (BICHOTA SEASON),8/10/2023
Si No Estás,iñigo quintero,24,7,-7,12/20/2023,97,184061,Si No Estás,9/23/2022
PERRO NEGRO,"Bad Bunny, Feid",25,-1,-7,12/20/2023,96,162767,nadie sabe lo que va a pasar mañana,10/13/2023
Strangers,Kenya Grace,26,6,-3,12/20/2023,96,172964,Strangers,9/1/2023
Mistletoe,Justin Bieber,27,-8,8,12/20/2023,92,182946,Under The Mistletoe (Deluxe Edition),1/1/2011
Standing Next to You,Jung Kook,28,6,-12,12/20/2023,97,206019,GOLDEN,11/3/2023
Water,Tyla,29,7,-3,12/20/2023,95,200255,Water,7/28/2023
HARLEY QUINN,"Fuerza Regida, Marshmello",30,-1,-5,12/20/2023,95,143327,Pa las Baby's Y Belikeada,10/20/2023
Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",31,-3,-3,12/20/2023,94,191466,Que Onda,8/30/2023
Agora Hills,Doja Cat,32,6,-5,12/20/2023,84,265360,Scarlet,9/20/2023
LUNA,"Feid, ATL Jacob",33,11,17,12/20/2023,88,196800,FERXXOCALIPSIS,12/1/2023
Stick Season,Noah Kahan,34,12,-3,12/20/2023,93,182346,Stick Season,10/14/2022
vampire,Olivia Rodrigo,35,4,-5,12/20/2023,94,219724,GUTS,9/8/2023
Starboy,"The Weeknd, Daft Punk",36,9,-7,12/20/2023,94,230453,Starboy,11/25/2016
La Víctima,Xavi,37,5,13,12/20/2023,90,156345,La Víctima,8/17/2023
Daylight,David Kushner,38,12,0,12/20/2023,94,212953,Daylight,4/14/2023
A Holly Jolly Christmas,Burl Ives,39,-9,11,12/20/2023,91,135533,Have A Holly Jolly Christmas,10/1/1965
Según Quién,"Maluma, Carin Leon",40,3,-4,12/20/2023,90,142334,Don Juan,8/25/2023
Kill Bill,SZA,41,9,-8,12/20/2023,92,153946,SOS,12/8/2022
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",42,-16,8,12/20/2023,91,214333,Signature Box,10/5/2010
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",43,7,-4,12/20/2023,91,229938,The Forever Story (Extended Version),10/31/2022
Pehle Bhi Main,"Vishal Mishra, Raj Shekhar",44,4,-1,12/20/2023,87,250158,ANIMAL,11/24/2023
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"Frank Sinatra, B. Swanson Quartet",45,-18,5,12/20/2023,90,155453,Christmas Songs by Sinatra,11/8/1994
BELLAKEO,"Peso Pluma, Anitta",46,4,4,12/20/2023,85,197333,BELLAKEO,12/7/2023
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,47,3,3,12/20/2023,93,222369,"What Was I Made For? [From The Motion Picture ""Barbie""]",7/13/2023
The Night We Met,Lord Huron,48,2,-6,12/20/2023,82,208211,Strange Trails,4/7/2015
As It Was,Harry Styles,49,1,-5,12/20/2023,94,167303,Harry's House,5/20/2022
The Christmas Song (Merry Christmas To You),Nat King Cole,50,-13,0,12/20/2023,69,190973,The Nat King Cole Story,9/25/1961
All I Want for Christmas Is You,Mariah Carey,1,0,0,12/19/2023,100,241106,Merry Christmas,10/28/1994
Last Christmas - Single Version,Wham!,2,0,0,12/19/2023,89,265960,The Singles: Echoes from the Edge of Heaven,7/7/2023
Rockin' Around The Christmas Tree,Brenda Lee,3,0,0,12/19/2023,98,126266,Merry Christmas From Brenda Lee,10/19/1964
Jingle Bell Rock,Bobby Helms,4,0,0,12/19/2023,94,130973,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),12/2/1957
Santa Tell Me,Ariana Grande,5,0,2,12/19/2023,96,204093,Santa Tell Me,11/24/2014
It's Beginning to Look a Lot like Christmas,Michael Bublé,6,1,0,12/19/2023,87,207199,Christmas (Deluxe Special Edition),10/14/2011
It's the Most Wonderful Time of the Year,Andy Williams,7,1,1,12/19/2023,79,151000,The Andy Williams Christmas Album,1/1/1963
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,8,1,1,12/19/2023,95,117146,A Winter Romance,1/1/1959
greedy,Tate McRae,9,-3,-4,12/19/2023,99,131872,greedy,9/15/2023
Snowman,Sia,10,0,1,12/19/2023,94,165900,Everyday Is Christmas (Deluxe Edition),11/1/2018
My Love Mine All Mine,Mitski,11,1,-1,12/19/2023,98,137773,The Land Is Inhospitable and So Are We,9/15/2023
Underneath the Tree,Kelly Clarkson,12,-1,0,12/19/2023,86,229640,Wrapped In Red,10/29/2013
Holly Jolly Christmas,Michael Bublé,13,1,1,12/19/2023,83,119786,Christmas,10/14/2011
Feliz Navidad,José Feliciano,14,2,1,12/19/2023,88,182066,Feliz Navidad,9/24/2002
Cruel Summer,Taylor Swift,15,0,-2,12/19/2023,98,178426,Lover,8/23/2019
Sleigh Ride,The Ronettes,16,1,2,12/19/2023,83,181266,Sleigh Ride,12/4/2020
Lovin On Me,Jack Harlow,17,-4,-1,12/19/2023,97,138411,Lovin On Me,11/10/2023
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",18,0,1,12/19/2023,94,244684,The Idol Episode 4 (Music from the HBO Original Series),6/23/2023
Mistletoe,Justin Bieber,19,0,2,12/19/2023,92,182946,Under The Mistletoe (Deluxe Edition),1/1/2011
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",20,5,-3,12/19/2023,90,183550,GOLDEN,11/3/2023
La Diabla,Xavi,21,2,29,12/19/2023,87,172264,La Diabla,11/30/2023
Paint The Town Red,Doja Cat,22,0,1,12/19/2023,88,230480,Scarlet,9/20/2023
QLONA,"KAROL G, Peso Pluma",23,-3,-1,12/19/2023,93,172797,MAÑANA SERÁ BONITO (BICHOTA SEASON),8/10/2023
PERRO NEGRO,"Bad Bunny, Feid",24,-3,-4,12/19/2023,97,162767,nadie sabe lo que va a pasar mañana,10/13/2023
I Wanna Be Yours,Arctic Monkeys,25,7,2,12/19/2023,95,183956,AM,9/9/2013
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",26,3,3,12/19/2023,91,214333,Signature Box,10/5/2010
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"Frank Sinatra, B. Swanson Quartet",27,3,4,12/19/2023,90,155453,Christmas Songs by Sinatra,11/8/1994
Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",28,-2,0,12/19/2023,95,191466,Que Onda,8/30/2023
HARLEY QUINN,"Fuerza Regida, Marshmello",29,-2,-3,12/19/2023,95,143327,Pa las Baby's Y Belikeada,10/20/2023
A Holly Jolly Christmas,Burl Ives,30,3,12,12/19/2023,91,135533,Have A Holly Jolly Christmas,10/1/1965
Si No Estás,iñigo quintero,31,-7,-6,12/19/2023,98,184061,Si No Estás,9/23/2022
Strangers,Kenya Grace,32,-4,-2,12/19/2023,96,172964,Strangers,9/1/2023
Merry Christmas Everyone,Shakin' Stevens,33,2,-1,12/19/2023,91,220160,Merry Christmas Everyone,11/25/1991
Standing Next to You,Jung Kook,34,4,-10,12/19/2023,97,206019,GOLDEN,11/3/2023
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,35,5,2,12/19/2023,91,227653,McCartney II (Special Edition),5/16/1980
Water,Tyla,36,-5,-3,12/19/2023,95,200255,Water,7/28/2023
The Christmas Song (Merry Christmas To You),Nat King Cole,37,-3,13,12/19/2023,67,190973,The Nat King Cole Story,9/25/1961
Agora Hills,Doja Cat,38,-2,-3,12/19/2023,85,265360,Scarlet,9/20/2023
vampire,Olivia Rodrigo,39,2,0,12/19/2023,94,219724,GUTS,9/8/2023
Driving Home for Christmas,Chris Rea,40,2,0,12/19/2023,75,239946,New Light Through Old Windows,10/17/1988
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",41,5,9,12/19/2023,90,155933,Greatest Christmas Songs,8/20/1999
La Víctima,Xavi,42,1,8,12/19/2023,90,156345,La Víctima,8/17/2023
Según Quién,"Maluma, Carin Leon",43,-6,-5,12/19/2023,90,142334,Don Juan,8/25/2023
LUNA,"Feid, ATL Jacob",44,-5,6,12/19/2023,88,196800,FERXXOCALIPSIS,12/1/2023
Starboy,"The Weeknd, Daft Punk",45,0,-9,12/19/2023,94,230453,Starboy,11/25/2016
Stick Season,Noah Kahan,46,-2,-2,12/19/2023,93,182346,Stick Season,10/14/2022
White Christmas - 1947 Version,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",47,2,2,12/19/2023,90,177480,Holiday Inn (Original Motion Picture Soundtrack),1/1/1942
Pehle Bhi Main,"Vishal Mishra, Raj Shekhar",48,2,2,12/19/2023,87,250158,ANIMAL,11/24/2023
Do They Know It's Christmas? - 1984 Version,Band Aid,49,1,1,12/19/2023,89,222533,Do They Know It’s Christmas?,11/25/1984
Kill Bill,SZA,50,0,-9,12/19/2023,92,153946,SOS,12/8/2022
All I Want for Christmas Is You,Mariah Carey,1,0,0,12/18/2023,99,241106,Merry Christmas,10/28/1994
Last Christmas - Single Version,Wham!,2,0,0,12/18/2023,89,265960,The Singles: Echoes from the Edge of Heaven,7/7/2023
Rockin' Around The Christmas Tree,Brenda Lee,3,0,0,12/18/2023,98,126266,Merry Christmas From Brenda Lee,10/19/1964
Jingle Bell Rock,Bobby Helms,4,1,0,12/18/2023,93,130973,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),12/2/1957
Santa Tell Me,Ariana Grande,5,1,2,12/18/2023,95,204093,Santa Tell Me,11/24/2014
greedy,Tate McRae,6,-2,-1,12/18/2023,100,131872,greedy,9/15/2023
It's Beginning to Look a Lot like Christmas,Michael Bublé,7,2,-1,12/18/2023,87,207199,Christmas (Deluxe Special Edition),10/14/2011
It's the Most Wonderful Time of the Year,Andy Williams,8,3,0,12/18/2023,79,151000,The Andy Williams Christmas Album,1/1/1963
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,9,4,0,12/18/2023,95,117146,A Winter Romance,1/1/1959
Snowman,Sia,10,2,0,12/18/2023,94,165900,Everyday Is Christmas (Deluxe Edition),11/1/2018
Underneath the Tree,Kelly Clarkson,11,4,1,12/18/2023,85,229640,Wrapped In Red,10/29/2013
My Love Mine All Mine,Mitski,12,-4,1,12/18/2023,98,137773,The Land Is Inhospitable and So Are We,9/15/2023
Lovin On Me,Jack Harlow,13,-6,-2,12/18/2023,97,138411,Lovin On Me,11/10/2023
Holly Jolly Christmas,Michael Bublé,14,3,1,12/18/2023,83,119786,Christmas,10/14/2011
Cruel Summer,Taylor Swift,15,-5,-1,12/18/2023,99,178426,Lover,8/23/2019
Feliz Navidad,José Feliciano,16,6,0,12/18/2023,87,182066,Feliz Navidad,9/24/2002
Sleigh Ride,The Ronettes,17,8,2,12/18/2023,83,181266,Sleigh Ride,12/4/2020
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",18,-4,7,12/18/2023,94,244684,The Idol Episode 4 (Music from the HBO Original Series),6/23/2023
Mistletoe,Justin Bieber,19,10,4,12/18/2023,92,182946,Under The Mistletoe (Deluxe Edition),1/1/2011
QLONA,"KAROL G, Peso Pluma",20,0,0,12/18/2023,93,172797,MAÑANA SERÁ BONITO (BICHOTA SEASON),8/10/2023
PERRO NEGRO,"Bad Bunny, Feid",21,-3,-3,12/18/2023,97,162767,nadie sabe lo que va a pasar mañana,10/13/2023
Paint The Town Red,Doja Cat,22,-6,-1,12/18/2023,88,230480,Scarlet,9/20/2023
La Diabla,Xavi,23,4,27,12/18/2023,86,172264,La Diabla,11/30/2023
Si No Estás,iñigo quintero,24,-3,0,12/18/2023,98,184061,Si No Estás,9/23/2022
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",25,-6,-8,12/18/2023,90,183550,GOLDEN,11/3/2023
Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",26,5,1,12/18/2023,95,191466,Que Onda,8/30/2023
HARLEY QUINN,"Fuerza Regida, Marshmello",27,1,-5,12/18/2023,95,143327,Pa las Baby's Y Belikeada,10/20/2023
Strangers,Kenya Grace,28,-4,0,12/18/2023,97,172964,Strangers,9/1/2023
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",29,15,2,12/18/2023,91,214333,Signature Box,10/5/2010
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"Frank Sinatra, B. Swanson Quartet",30,15,3,12/18/2023,90,155453,Christmas Songs by Sinatra,11/8/1994
Water,Tyla,31,-5,-2,12/18/2023,95,200255,Water,7/28/2023
I Wanna Be Yours,Arctic Monkeys,32,-2,-2,12/18/2023,95,183956,AM,9/9/2013
A Holly Jolly Christmas,Burl Ives,33,13,10,12/18/2023,91,135533,Have A Holly Jolly Christmas,10/1/1965
The Christmas Song (Merry Christmas To You),Nat King Cole,34,13,16,12/18/2023,67,190973,The Nat King Cole Story,9/25/1961
Merry Christmas Everyone,Shakin' Stevens,35,15,-1,12/18/2023,91,220160,Merry Christmas Everyone,11/25/1991
Agora Hills,Doja Cat,36,-4,0,12/18/2023,85,265360,Scarlet,9/20/2023
Según Quién,"Maluma, Carin Leon",37,-1,-5,12/18/2023,90,142334,Don Juan,8/25/2023
Standing Next to You,Jung Kook,38,-15,-12,12/18/2023,98,206019,GOLDEN,11/3/2023
LUNA,"Feid, ATL Jacob",39,-5,11,12/18/2023,87,196800,FERXXOCALIPSIS,12/1/2023
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,40,10,-1,12/18/2023,90,227653,McCartney II (Special Edition),5/16/1980
vampire,Olivia Rodrigo,41,-6,5,12/18/2023,95,219724,GUTS,9/8/2023
Driving Home for Christmas,Chris Rea,42,8,-1,12/18/2023,75,239946,New Light Through Old Windows,10/17/1988
La Víctima,Xavi,43,0,7,12/18/2023,90,156345,La Víctima,8/17/2023
Stick Season,Noah Kahan,44,-11,1,12/18/2023,93,182346,Stick Season,10/14/2022
Starboy,"The Weeknd, Daft Punk",45,-8,-7,12/18/2023,94,230453,Starboy,11/25/2016
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",46,4,4,12/18/2023,90,155933,Greatest Christmas Songs,8/20/1999
LALA,Myke Towers,47,-5,-7,12/18/2023,95,197920,LA VIDA ES UNA,3/23/2023
MONACO,Bad Bunny,48,-9,-13,12/18/2023,96,267194,nadie sabe lo que va a pasar mañana,10/13/2023
White Christmas - 1947 Version,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",49,1,1,12/18/2023,90,177480,Holiday Inn (Original Motion Picture Soundtrack),1/1/1942
Do They Know It's Christmas? - 1984 Version,Band Aid,50,0,0,12/18/2023,88,222533,Do They Know It’s Christmas?,11/25/1984
All I Want for Christmas Is You,Mariah Carey,1,0,0,12/17/2023,99,241106,Merry Christmas,10/28/1994
Last Christmas - Single Version,Wham!,2,0,0,12/17/2023,88,265960,The Singles: Echoes from the Edge of Heaven,7/7/2023
Rockin' Around The Christmas Tree,Brenda Lee,3,1,1,12/17/2023,97,126266,Merry Christmas From Brenda Lee,10/19/1964
greedy,Tate McRae,4,-1,-1,12/17/2023,100,131872,greedy,9/15/2023
Jingle Bell Rock,Bobby Helms,5,2,0,12/17/2023,93,130973,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),12/2/1957
Santa Tell Me,Ariana Grande,6,4,1,12/17/2023,95,204093,Santa Tell Me,11/24/2014
Lovin On Me,Jack Harlow,7,-1,-1,12/17/2023,97,138411,Lovin On Me,11/10/2023
My Love Mine All Mine,Mitski,8,-3,0,12/17/2023,98,137773,The Land Is Inhospitable and So Are We,9/15/2023
It's Beginning to Look a Lot like Christmas,Michael Bublé,9,0,1,12/17/2023,86,207199,Christmas (Deluxe Special Edition),10/14/2011
Cruel Summer,Taylor Swift,10,-2,-1,12/17/2023,99,178426,Lover,8/23/2019
It's the Most Wonderful Time of the Year,Andy Williams,11,0,0,12/17/2023,79,151000,The Andy Williams Christmas Album,1/1/1963
Snowman,Sia,12,1,0,12/17/2023,94,165900,Everyday Is Christmas (Deluxe Edition),11/1/2018
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,13,1,0,12/17/2023,95,117146,A Winter Romance,1/1/1959
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",14,-2,3,12/17/2023,94,244684,The Idol Episode 4 (Music from the HBO Original Series),6/23/2023
Underneath the Tree,Kelly Clarkson,15,5,1,12/17/2023,85,229640,Wrapped In Red,10/29/2013
Paint The Town Red,Doja Cat,16,0,2,12/17/2023,88,230480,Scarlet,9/20/2023
Holly Jolly Christmas,Michael Bublé,17,5,4,12/17/2023,82,119786,Christmas,10/14/2011
PERRO NEGRO,"Bad Bunny, Feid",18,-3,-4,12/17/2023,97,162767,nadie sabe lo que va a pasar mañana,10/13/2023
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",19,-2,-4,12/17/2023,90,183550,GOLDEN,11/3/2023
QLONA,"KAROL G, Peso Pluma",20,-1,0,12/17/2023,93,172797,MAÑANA SERÁ BONITO (BICHOTA SEASON),8/10/2023
Si No Estás,iñigo quintero,21,-3,-2,12/17/2023,98,184061,Si No Estás,9/23/2022
Feliz Navidad,José Feliciano,22,6,1,12/17/2023,87,182066,Feliz Navidad,9/24/2002
Standing Next to You,Jung Kook,23,0,-1,12/17/2023,98,206019,GOLDEN,11/3/2023
Strangers,Kenya Grace,24,-3,1,12/17/2023,97,172964,Strangers,9/1/2023
Sleigh Ride,The Ronettes,25,7,4,12/17/2023,83,181266,Sleigh Ride,12/4/2020
Water,Tyla,26,-2,1,12/17/2023,95,200255,Water,7/28/2023
La Diabla,Xavi,27,9,23,12/17/2023,85,172264,La Diabla,11/30/2023
HARLEY QUINN,"Fuerza Regida, Marshmello",28,-3,-4,12/17/2023,95,143327,Pa las Baby's Y Belikeada,10/20/2023
Mistletoe,Justin Bieber,29,4,2,12/17/2023,92,182946,Under The Mistletoe (Deluxe Edition),1/1/2011
I Wanna Be Yours,Arctic Monkeys,30,-4,-2,12/17/2023,95,183956,AM,9/9/2013
Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",31,-4,-5,12/17/2023,95,191466,Que Onda,8/30/2023
Agora Hills,Doja Cat,32,-3,0,12/17/2023,85,265360,Scarlet,9/20/2023
Stick Season,Noah Kahan,33,-2,3,12/17/2023,93,182346,Stick Season,10/14/2022
LUNA,"Feid, ATL Jacob",34,1,16,12/17/2023,87,196800,FERXXOCALIPSIS,12/1/2023
vampire,Olivia Rodrigo,35,-5,5,12/17/2023,95,219724,GUTS,9/8/2023
Según Quién,"Maluma, Carin Leon",36,-2,-6,12/17/2023,90,142334,Don Juan,8/25/2023
Starboy,"The Weeknd, Daft Punk",37,0,2,12/17/2023,94,230453,Starboy,11/25/2016
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",38,4,6,12/17/2023,91,229938,The Forever Story (Extended Version),10/31/2022
MONACO,Bad Bunny,39,-1,-4,12/17/2023,96,267194,nadie sabe lo que va a pasar mañana,10/13/2023
Kill Bill,SZA,40,-1,-6,12/17/2023,92,153946,SOS,12/8/2022
Daylight,David Kushner,41,-1,1,12/17/2023,94,212953,Daylight,4/14/2023
LALA,Myke Towers,42,-1,-4,12/17/2023,95,197920,LA VIDA ES UNA,3/23/2023
La Víctima,Xavi,43,7,7,12/17/2023,90,156345,La Víctima,8/17/2023
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",44,6,1,12/17/2023,91,214333,Signature Box,10/5/2010
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"Frank Sinatra, B. Swanson Quartet",45,5,5,12/17/2023,90,155453,Christmas Songs by Sinatra,11/8/1994
A Holly Jolly Christmas,Burl Ives,46,4,4,12/17/2023,91,135533,Have A Holly Jolly Christmas,10/1/1965
The Christmas Song (Merry Christmas To You),Nat King Cole,47,3,3,12/17/2023,66,190973,The Nat King Cole Story,9/25/1961
Pehle Bhi Main,"Vishal Mishra, Raj Shekhar",48,-5,2,12/17/2023,86,250158,ANIMAL,11/24/2023
As It Was,Harry Styles,49,-3,-3,12/17/2023,94,167303,Harry's House,5/20/2022
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"The Weeknd, Playboi Carti, Madonna",50,0,0,12/17/2023,91,215466,Popular (Music from the HBO Original Series),6/2/2023
All I Want for Christmas Is You,Mariah Carey,1,0,0,12/16/2023,99,241106,Merry Christmas,10/28/1994
Last Christmas - Single Version,Wham!,2,0,0,12/16/2023,88,265960,The Singles: Echoes from the Edge of Heaven,7/7/2023
greedy,Tate McRae,3,0,0,12/16/2023,100,131872,greedy,9/15/2023
Rockin' Around The Christmas Tree,Brenda Lee,4,0,0,12/16/2023,97,126266,Merry Christmas From Brenda Lee,10/19/1964
My Love Mine All Mine,Mitski,5,0,0,12/16/2023,98,137773,The Land Is Inhospitable and So Are We,9/15/2023
Lovin On Me,Jack Harlow,6,0,1,12/16/2023,97,138411,Lovin On Me,11/10/2023
Jingle Bell Rock,Bobby Helms,7,1,-1,12/16/2023,93,130973,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),12/2/1957
Cruel Summer,Taylor Swift,8,-1,0,12/16/2023,99,178426,Lover,8/23/2019
It's Beginning to Look a Lot like Christmas,Michael Bublé,9,1,1,12/16/2023,86,207199,Christmas (Deluxe Special Edition),10/14/2011
Santa Tell Me,Ariana Grande,10,-1,-1,12/16/2023,95,204093,Santa Tell Me,11/24/2014
It's the Most Wonderful Time of the Year,Andy Williams,11,1,4,12/16/2023,79,151000,The Andy Williams Christmas Album,1/1/1963
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",12,-1,10,12/16/2023,94,244684,The Idol Episode 4 (Music from the HBO Original Series),6/23/2023
Snowman,Sia,13,0,1,12/16/2023,94,165900,Everyday Is Christmas (Deluxe Edition),11/1/2018
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,14,4,5,12/16/2023,94,117146,A Winter Romance,1/1/1959
PERRO NEGRO,"Bad Bunny, Feid",15,1,-3,12/16/2023,97,162767,nadie sabe lo que va a pasar mañana,10/13/2023
Paint The Town Red,Doja Cat,16,-1,1,12/16/2023,88,230480,Scarlet,9/20/2023
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",17,-3,-6,12/16/2023,90,183550,GOLDEN,11/3/2023
Si No Estás,iñigo quintero,18,-1,-5,12/16/2023,98,184061,Si No Estás,9/23/2022
QLONA,"KAROL G, Peso Pluma",19,0,-1,12/16/2023,93,172797,MAÑANA SERÁ BONITO (BICHOTA SEASON),8/10/2023
Underneath the Tree,Kelly Clarkson,20,1,1,12/16/2023,85,229640,Wrapped In Red,10/29/2013
Strangers,Kenya Grace,21,-1,-1,12/16/2023,97,172964,Strangers,9/1/2023
Holly Jolly Christmas,Michael Bublé,22,0,6,12/16/2023,82,119786,Christmas,10/14/2011
Standing Next to You,Jung Kook,23,0,-7,12/16/2023,98,206019,GOLDEN,11/3/2023
Water,Tyla,24,1,-1,12/16/2023,95,200255,Water,7/28/2023
